ticker,calc_date,lthcs_score,band,confidence_level,adoption_momentum,institutional_confidence,financial_evolution,thesis_integrity,des,dropped_pillars,data_quality_flags,drift_1d,drift_7d,drift_30d,drift_90d,sector,maturity_stage
RTX,2026-06-06,48.2,review,medium,68.5,27.3,41.1,58.8,49.2,thesis_integrity,thesis_unavailable,4.0,2.0,-3.1,-15.3,Industrials,standard_compounder
SBUX,2026-06-06,42.5,review,medium,36.1,44.8,48.5,53.6,43.7,thesis_integrity,thesis_unavailable,-4.6,-1.4,-9.9,-14.0,Consumer Discretionary,standard_compounder
SCHW,2026-06-06,61.9,monitor,medium,87.1,16.9,73.5,50.0,66.6,thesis_integrity,thesis_unavailable,16.0,2.7,-1.8,-6.6,Financials,standard_compounder
SHW,2026-06-06,32.7,review,medium,23.9,22.5,34.8,55.0,52.5,thesis_integrity,thesis_unavailable,-11.1,2.2,-5.0,-9.6,Materials,standard_compounder
SLB,2026-06-06,42.2,review,medium,22.9,60.4,30.5,50.0,57.0,thesis_integrity,thesis_unavailable,-12.2,-2.4,0.0,0.0,Energy,standard_compounder
SMCI,2026-06-06,59.2,weakening,medium,58.3,87.0,57.9,58.8,45.7,thesis_integrity,thesis_unavailable,4.0,-0.8,-2.9,13.2,Technology,growth_compounder
SNPS,2026-06-06,44.3,review,medium,48.9,30.1,53.8,46.9,45.7,thesis_integrity,thesis_unavailable,0.3,0.6,-16.5,-10.6,Technology,standard_compounder
SO,2026-06-06,56.6,weakening,medium,73.2,52.6,59.0,55.0,37.9,thesis_integrity,thesis_unavailable,9.0,0.5,-3.2,-3.9,Utilities,standard_compounder
SPG,2026-06-06,56.1,weakening,medium,47.8,80.7,58.9,55.0,39.6,thesis_integrity,thesis_unavailable,1.0,1.9,-3.2,-4.4,Real Estate,standard_compounder
STX,2026-06-06,76.5,constructive,medium,90.8,95.1,69.2,58.8,45.7,thesis_integrity,thesis_unavailable,16.3,0.2,0.0,0.0,Technology,standard_compounder
SYK,2026-06-06,38.6,review,medium,38.9,17.4,54.1,41.2,43.9,thesis_integrity,thesis_unavailable,-1.7,1.3,0.0,0.0,Health Care,mature_compounder
T,2026-06-06,47.7,review,medium,36.3,41.9,65.8,55.0,46.8,thesis_integrity,thesis_unavailable,0.5,-2.3,-1.5,-5.7,Communication Services,mature_compounder
TEAM,2026-06-06,51.7,weakening,medium,88.9,2.0,79.9,52.5,45.7,thesis_integrity,thesis_unavailable,17.8,-4.0,-2.7,-1.6,Technology,standard_compounder
TGT,2026-06-06,44.8,review,medium,30.7,77.1,26.6,58.8,43.7,thesis_integrity,thesis_unavailable,-10.4,2.5,-2.4,-6.0,Consumer Discretionary,standard_compounder
TJX,2026-06-06,54.7,weakening,medium,68.9,57.6,48.5,58.8,43.7,thesis_integrity,thesis_unavailable,4.4,6.9,0.0,0.0,Consumer Discretionary,mature_compounder
TMO,2026-06-06,35.0,review,medium,44.6,7.4,44.0,55.0,43.9,thesis_integrity,thesis_unavailable,-2.8,-0.3,-4.0,-8.3,Health Care,standard_compounder
TMUS,2026-06-06,56.2,weakening,medium,63.9,34.5,85.0,58.8,46.8,thesis_integrity,thesis_unavailable,10.7,-1.7,-3.5,-5.7,Communication Services,standard_compounder
TRV,2026-06-06,52.1,weakening,medium,38.6,54.9,48.2,55.0,66.6,thesis_integrity,thesis_unavailable,-3.3,1.6,1.4,-3.7,Financials,mature_compounder
TSLA,2026-06-06,28.3,review,medium,5.0,27.8,38.3,41.2,50.3,thesis_integrity,thesis_unavailable,-16.3,-3.1,1.1,-10.3,Consumer Discretionary,standard_compounder
TT,2026-06-06,53.2,weakening,medium,42.1,72.9,50.5,53.5,49.2,thesis_integrity,thesis_unavailable,-2.2,2.4,0.0,0.0,Industrials,standard_compounder
TTD,2026-06-06,47.7,review,medium,69.2,-0.2,76.9,45.0,46.8,thesis_integrity,thesis_unavailable,11.1,-1.7,-4.0,-4.9,Communication Services,standard_compounder
TTWO,2026-06-06,48.4,review,medium,71.2,18.2,53.0,58.8,46.8,thesis_integrity,thesis_unavailable,7.2,-1.3,8.1,9.5,Communication Services,standard_compounder
TXN,2026-06-06,65.0,monitor,medium,51.8,89.1,73.6,58.8,45.7,thesis_integrity,thesis_unavailable,6.3,3.2,-1.2,2.1,Technology,mature_compounder
UBER,2026-06-06,42.1,review,medium,59.7,15.3,39.2,55.0,49.2,thesis_integrity,thesis_unavailable,1.0,2.9,0.0,0.0,Industrials,growth_compounder
UNH,2026-06-06,67.1,monitor,medium,75.0,87.7,57.6,55.0,43.9,thesis_integrity,thesis_unavailable,9.2,5.8,2.0,18.7,Health Care,standard_compounder
UNP,2026-06-06,50.2,weakening,medium,29.3,73.8,55.0,50.0,49.2,thesis_integrity,thesis_unavailable,-5.6,1.4,0.2,-2.4,Industrials,standard_compounder
UPS,2026-06-06,38.7,review,medium,21.4,52.8,34.6,55.0,49.2,thesis_integrity,thesis_unavailable,-11.8,2.8,1.2,-9.6,Industrials,standard_compounder
USB,2026-06-06,42.8,review,medium,42.0,40.1,15.8,55.0,66.6,thesis_integrity,thesis_unavailable,-9.0,2.2,-2.5,-7.5,Financials,standard_compounder
V,2026-06-06,67.2,monitor,medium,81.0,40.0,81.0,53.5,66.6,thesis_integrity,thesis_unavailable,15.4,3.0,3.2,5.8,Financials,mature_compounder
VLO,2026-06-06,61.2,monitor,medium,50.0,87.7,50.0,55.4,57.0,thesis_integrity,sec_unavailable;thesis_unavailable,0.0,1.7,0.0,0.0,Energy,standard_compounder
VRSK,2026-06-06,44.0,review,medium,53.7,11.1,64.8,55.0,49.2,thesis_integrity,thesis_unavailable,3.9,2.5,-1.5,-4.6,Industrials,standard_compounder
VRTX,2026-06-06,51.3,weakening,medium,60.2,32.4,71.7,55.0,43.9,thesis_integrity,thesis_unavailable,7.2,-2.4,-0.3,-11.5,Health Care,standard_compounder
VZ,2026-06-06,50.8,weakening,medium,34.3,73.4,48.7,55.0,46.8,thesis_integrity,thesis_unavailable,-4.2,-1.2,3.3,0.7,Communication Services,mature_compounder
WBD,2026-06-06,27.0,review,medium,16.9,27.9,16.4,46.1,46.8,thesis_integrity,thesis_unavailable,-16.7,0.6,-0.4,-13.4,Communication Services,standard_compounder
WDAY,2026-06-06,42.9,review,medium,50.1,7.9,73.8,55.0,45.7,thesis_integrity,thesis_unavailable,4.5,3.1,0.6,0.1,Technology,standard_compounder
WDC,2026-06-06,75.0,constructive,medium,92.6,94.7,71.5,58.8,45.7,thesis_integrity,thesis_unavailable,17.4,0.2,0.0,0.0,Technology,recovery_stabilization
WELL,2026-06-06,74.7,constructive,medium,99.4,71.8,84.1,55.0,39.6,thesis_integrity,thesis_unavailable,21.8,2.3,0.0,0.0,Real Estate,standard_compounder
WFC,2026-06-06,34.4,review,medium,23.1,28.5,19.4,50.0,66.6,thesis_integrity,thesis_unavailable,-14.4,4.5,2.5,0.5,Financials,mature_compounder
WM,2026-06-06,57.9,weakening,medium,74.6,36.1,71.8,53.1,49.2,thesis_integrity,thesis_unavailable,11.8,3.2,0.0,0.0,Industrials,mature_compounder
WMB,2026-06-06,72.5,constructive,medium,89.8,61.7,78.9,58.8,57.0,thesis_integrity,thesis_unavailable,17.8,-1.2,0.0,0.0,Energy,standard_compounder
WMT,2026-06-06,42.6,review,medium,40.7,45.6,39.8,50.0,44.1,thesis_integrity,thesis_unavailable,-4.8,4.1,-14.7,-15.7,Consumer Staples,mature_compounder
XEL,2026-06-06,50.2,weakening,medium,47.9,52.3,67.4,50.0,37.9,thesis_integrity,thesis_unavailable,2.7,0.6,-3.9,-1.7,Utilities,standard_compounder
XOM,2026-06-06,41.8,review,medium,19.0,63.2,31.0,58.8,57.0,thesis_integrity,thesis_unavailable,-13.2,0.2,-5.8,-9.1,Energy,standard_compounder
ZS,2026-06-06,28.4,review,medium,30.9,-2.1,57.9,55.0,45.7,thesis_integrity,thesis_unavailable,-4.5,0.2,1.8,0.3,Technology,growth_compounder
